2022,10,30,"85 ST. GEORGE STREET, TORONTO",MEDICAL ,REPORT OF A PERSON REQUIRING MEDICAL AID; ALL IN ORDER.,43.6640402,-79.3978532
2022,10,30,"7 HART HOUSE CIRCLE, TORONTO",SUSPICIOUS VEHICLE,REPORT OF A SUSPICIOUS VEHICLE; ALL IN ORDER.,43.6640143,-79.39433190000001
2022,10,30,"11 KING'S COLLEGE ROAD, TORONTO",INSECURE PREMISES,REPORT OF AN INSECURE PREMISES; ALL APPEARED IN ORDER.,43.6596165,-79.3954263
2022,10,30,"160 COLLEGE STREET, TORONTO",TRESPASS TO PROPERTY ACT,REPORT OF A PERSONS ENGAGING IN PROHIBITED ACT; PARTIES LEFT THE AREA WITHOUT FURTHER INCIDENT.,43.6600101,-79.3931363
2022,10,30,"130 ST. GEORGE STREET, TORONTO",MEDICAL ,REPORT OF A MEDICAL; PARAMEDICS TRANSPORTED TO HOSPITAL.,43.6644223,-79.3993359
2022,10,30,"321 BLOOR STREET WEST, TORONTO",LIQUOR LICENCE ACT,REPORT OF AN INTOXICATED PERSON; PARTY DECLINED MEDICAL AID.,43.6674618,-79.3991159
2022,10,30,"55 ST. GEORGE STREET, TORONTO",POLICE INFORMATION,REPORT OF POSTERS DISPLAYED WITHOUT AUTHORIZATION.,43.6607349,-79.39661219999999
2022,10,30,"130 ST. GEORGE STREET, TORONTO",THEFT,REPORT OF A LAPTOP THEFT AND CELLPHONE THEFT; PROPERTY LEFT UNATTENDED.,43.6644223,-79.3993359
2022,10,30,"45 WILLCOCKS STREET, TORONTO",PERSON WELL-BEING CHECK,CONCERN FOR A PERSONS WELL-BEING WAS REPORTED; PARTIES ABLE TO CARE FOR THEMSELVES.,43.6610858,-79.400858
2022,10,30,"55 ST. GEORGE STREET, TORONTO",UNWANTED PERSON,REPORT OF A UNWANTED PERSONS; LEFT WHEN DIRECTED BY OFFICERS.,43.6607349,-79.39661219999999
2022,10,30,"55 HARBORD STREET, TORONTO",POLICE INFORMATION,REPORT OF SMOKE; ALL IN ORDER.,43.6628599,-79.40103649999999
